"model","v.WIS","v.RMSE","v.LNQ","v.MAE"
"4","4","4","4","4"
"ILI(23) + bs(12) + ozone(Pow) + ScHD(Pow)","1 (997.5)","14 (1804.8)","1639 (0.5)","19 (1579.7)"
"ILI(23) + bs(12) + ozone(Pow) + temp(1) + ScHD(Pow)","3 (998.3)","1 (1796.3)","1254 (0.5)","1 (1569.6)"
"ILI(9) + bs(12) + ozone(Pow) + temp(1) + ScHD(Pow)","1736 (1025.8)","1759 (1867.2)","1 (0.4)","1541 (1632.7)"
"13","13","13","13","13"
"ILI(15) + bs(12) +  + temp(1) + ScHD(sq)","1 (1536.5)","6 (3155.6)","1259 (0.8)","4 (2527.2)"
"ILI(17) + bs(12) +  + temp(1) + ScHD(sq)","10 (1540.7)","1 (3152.3)","2559 (0.8)","8 (2531.5)"
"ILI(5) + bs(12) + AH(1) + temp(1) + ScHD(sq)","664 (1560.6)","1103 (3224.2)","1 (0.8)","1188 (2585.1)"
"ILI(15) + bs(12) + AH(1) + temp(1) + ScHD(sq)","14 (1541.5)","21 (3164.8)","120 (0.8)","1 (2524.9)"
